id|broker_code|address|price
43|WD|35876 Rodriguez Coves|209100.0
44|PE|186 Jessica Trace Suite 184|153500.0
45|PE|8202 Mack Rapid|354400.0
46|AS|65737 Boyer Extension Suite 791|253500.0
47|PE|3509 Mark Crest Apt. 585|287500.0
48|GE|6057 Sean Creek|251200.0
49|GB|2896 Laurie Branch|254500.0
50|WD|77796 Brown Spurs Suite 046|340700.0
51|AS|6844 Erica Oval|319500.0
52|DM|8951 Brandon Islands Suite 841|305900.0
53|FL|2310 Christopher Terrace Suite 057|311400.0
54|PE|48285 Daniel Highway Suite 905|216000.0
55|PP|2331 Eric Causeway Apt. 498|211300.0
56|AS|38656 Brandon Squares Suite 321|259200.0
57|AS|3214 Jose Field Suite 119|360800.0
58|DM|6304 Diana Station Apt. 518|341900.0
59|GB|725 Andrea Loaf Apt. 700|314400.0
60|AS|491 Susan Drives|261100.0
61|GB|2460 Jasmine Fall|216300.0
62|PE|767 Hickman Rest|257300.0
63|GB|3379 Taylor Parkway Apt. 697|256300.0
64|PE|129 Nancy Camp Suite 021|220100.0
65|AS|625 Dunn Extension Suite 306|374500.0
66|GE|0578 Parks Camp Suite 465|365100.0
67|AS|59089 Brock Dale Suite 889|126600.0
68|PP|599 Edward Terrace Suite 320|316700.0
69|DM|579 Jennifer Expressway|282200.0
70|GB|7128 Cooper Causeway|269000.0
71|DM|45504 Justin Crossing Suite 879|368300.0
72|GE|6067 Matthew Fort|308100.0
73|GB|3093 Mueller Row|288800.0
74|DM|13516 Chris Knolls|184400.0
75|GB|74470 Wells Mission Suite 349|298900.0
76|PP|161 John Rapid|332000.0
77|GE|508 Joy Alley|202700.0
78|GE|7251 Angela Knolls Apt. 589|321600.0
79|GE|95013 Moore Union Apt. 901|340000.0
80|GB|647 Brian Grove Suite 045|362200.0
81|GB|007 Jordan Street|327100.0
82|FL|894 Marissa Key Apt. 133|156200.0
83|PP|5579 Tyler Ridge Apt. 832|171700.0
84|WD|3097 Cory Avenue|156200.0
85|PP|59784 Rodriguez Squares|338500.0
86|WD|0360 Lopez Row Apt. 982|350200.0
87|GB|59039 Christopher Prairie|234300.0
88|WD|7451 Eric Square|379100.0
89|PP|0505 Carter Meadow|280400.0
90|FL|63465 Dennis Ramp Suite 407|333500.0
91|PP|303 Robin Key Apt. 957|391700.0
92|DM|25096 Anne Bypass Suite 261|330100.0
93|PP|49800 Andre Glen|208200.0
94|DM|49434 Johnson Views|284600.0
95|GE|674 Andrew Villages Apt. 659|229000.0
96|AS|5154 Dawson Walk Apt. 992|380600.0
97|WD|15334 Damon Viaduct Suite 329|120300.0
98|PP|71808 Michael Flat Apt. 538|118200.0
99|PP|25790 Johnson Station|386600.0
100|DM|9040 Chavez Haven|306100.0
101|FL|9401 Jennings Point|220700.0
102|PP|08672 Gregory Harbors|202600.0
103|DM|7828 Barrett Ways Apt. 713|353800.0
104|PP|70210 Riley Row Apt. 522|104100.0
105|GB|617 Alan River|225100.0
106|WD|65268 Page Parks|196400.0
107|AS|05897 Gonzalez Inlet|371000.0
108|GB|9112 Edwards Mountain|219300.0
109|FL|3978 Kenneth Forge Suite 034|179600.0
110|DM|200 Wesley Meadows Apt. 940|321000.0
111|GB|953 Benjamin Ports Suite 801|347900.0
112|PP|25524 Carla Pine|265700.0
113|PP|1645 Peter Wells|123800.0
114|FL|168 David Skyway|102000.0
115|PE|3871 Gutierrez Pine|344900.0
116|FL|444 Green Land Suite 511|171600.0
117|WD|105 Jeremy Creek Apt. 682|118500.0
118|GE|379 Chelsea Heights Apt. 883|162300.0
119|PP|88116 Williams Viaduct Suite 892|356400.0
120|WD|402 Thornton Route|322500.0
121|FL|154 Jose Plain|275000.0
122|PP|5326 Moyer Ridge Suite 890|362000.0
123|AS|26093 Burns Pike Apt. 846|384100.0
124|FL|7209 Duarte Wells Suite 430|215800.0
125|PP|7837 Sherry Course|317700.0
126|GB|9945 Ferguson Mountains Apt. 247|268600.0
127|GE|913 Jessica Island|243700.0
128|GB|92344 Peggy Underpass Apt. 637|116600.0
129|PE|06196 Hill Expressway|334600.0
130|PP|5965 Melendez Via Apt. 462|328600.0
131|DM|98408 Morse Key|169900.0
132|PP|202 Phillip Burgs|149200.0
133|DM|0421 Julie Overpass|358900.0
134|AS|133 Kelsey Corner Apt. 082|341300.0
135|PP|7166 Payne Port Suite 599|143500.0
136|PE|217 Michael Corner|298000.0
137|GE|93398 John Terrace|180700.0
138|PP|934 Brandi Gateway|189700.0
139|AS|81948 Diana Orchard|141500.0
140|GE|49479 Joan Radial|173400.0
141|DM|3014 Dunlap Field Apt. 455|144100.0
142|GE|1160 Gregory Stravenue Apt. 971|314000.0
143|GB|6468 Jessica Station|262100.0
144|WD|08925 Christopher Lodge Suite 230|270800.0
145|DM|155 Tiffany Plains Apt. 265|258900.0
146|DM|272 Combs Mountain Suite 522|357100.0
147|GB|508 Crystal Harbors Suite 745|139000.0
148|FL|9305 Arthur Wells Apt. 700|247400.0
149|GB|3777 David Cliff|310200.0
150|GE|8200 Woods Brooks|333300.0
151|PE|4428 Scott Shore|157900.0
152|GE|3245 Pitts Rest|322600.0
153|PP|2525 Kenneth Throughway Suite 078|207700.0
154|AS|1568 Daniel Land Apt. 594|231500.0
155|GE|31577 Henderson Ridge|126700.0
156|AS|670 Smith Freeway Apt. 224|361600.0
157|AS|750 Morris Bypass|234400.0
158|DM|53870 Matthew Mission|266800.0
159|GE|633 Clark Garden Apt. 562|163500.0
160|WD|37580 Christina Point|129000.0
161|AS|871 Jeffrey Station|380000.0
162|WD|3678 Stephen Points Apt. 676|263000.0
163|PP|7971 Powell Forges|118600.0
164|PE|809 Brent Ville|217100.0
165|FL|84462 Thompson Fork|315200.0
166|FL|44736 Gutierrez Parks Apt. 302|162300.0
167|GB|2079 Teresa Route Apt. 423|249100.0
168|GE|556 Schmidt Drives Apt. 650|373500.0
169|GE|8348 Griffin Harbors Apt. 001|127800.0
170|DM|1052 Kaitlyn Well|209800.0
171|GB|7576 Thompson Locks Suite 664|245700.0
172|GE|44419 Hall Park Apt. 073|277900.0
173|DM|15735 Mullins Knoll|220400.0
174|GB|624 Christopher Mall|344600.0
175|PE|484 Davidson Court|392200.0
176|WD|180 Michael Divide|218500.0
177|FL|866 Johnson Dale|143900.0
178|WD|20538 Stacey Spring Apt. 073|216000.0
179|WD|921 Kara Dam Apt. 180|364000.0
180|GB|89665 Kelley Plains Apt. 682|259800.0
181|PP|6211 Hall Run Suite 682|306600.0
182|WD|836 Collins Harbor Suite 921|266100.0
183|PE|48123 Jacqueline Court Apt. 541|151600.0
184|PP|772 Monica Oval Suite 554|394000.0
185|GE|302 Sanchez Trail|117300.0
186|GE|474 Jessica Canyon Suite 553|346600.0
187|PP|798 Walker Port|120400.0
188|WD|61931 Thompson Brooks Apt. 766|249800.0
189|PP|5928 Barnett Lane Apt. 126|152800.0
190|AS|33599 Rodriguez Dam|374400.0
191|AS|1392 Jennifer Inlet Suite 792|256000.0
192|GB|508 Becker Shoals|309700.0
193|GB|5600 Michael Crossing|224000.0
194|WD|442 Jackie Flat Suite 604|193300.0
195|AS|85230 Coleman Terrace|159700.0
196|PP|867 Baker Street|214500.0
197|WD|63031 Jennifer Islands|163300.0
198|FL|867 Singh Light Apt. 222|352700.0
199|PE|317 Daniels Groves Suite 229|287700.0
200|DM|60822 Smith Roads|347000.0
201|GB|3546 Kyle Creek Suite 805|114800.0
202|PE|1911 Torres View Apt. 291|320500.0
203|FL|889 Amanda Vista Apt. 745|268200.0
204|WD|6495 Kenneth Stream Suite 801|118000.0
205|PP|1344 Alexandria Run|360200.0
206|FL|483 Alexander Row Apt. 077|305700.0
207|DM|18984 Norris Freeway|222400.0
208|DM|09555 Andrea Island Apt. 682|298300.0
209|DM|728 Maddox Mews|288500.0
210|DM|8475 Bernard Lakes Apt. 700|128600.0
211|WD|025 Heather Crossroad|113100.0
212|WD|781 Lindsay Springs|339400.0
213|PP|025 Hancock Road Apt. 188|163100.0
214|DM|1195 Grimes Hills Apt. 497|107800.0
215|GB|337 Kimberly Crossroad|118000.0
216|FL|086 Erika Expressway|343800.0
217|GE|26524 Bowman Square|211400.0
218|GB|350 Prince Dam Apt. 365|261400.0
219|GE|62450 Thomas Cove Suite 825|124200.0
220|PP|3391 Lynch Square Apt. 747|339900.0
221|GB|4681 Martin Light|349300.0
222|AS|448 Griffin Circle|139800.0
223|DM|4001 Ritter Inlet Apt. 851|282600.0
224|WD|013 Stephanie Haven Apt. 594|134000.0
225|PE|3146 Morris Crossroad|108000.0
226|PE|24772 Joshua Loaf|359600.0
227|WD|368 Wood Skyway Suite 260|122900.0
228|PE|455 Scott Fords|217800.0
229|DM|07953 Michelle Plaza Suite 442|355900.0
230|PP|828 Ortiz Drives|233100.0
231|PE|38595 Scott Villages Suite 004|397300.0
232|DM|170 Edward Stravenue|340200.0
233|GE|1924 Austin Lodge|208500.0
234|PE|3553 Nicholas Shoal Apt. 600|384500.0
235|PP|74905 Garcia Parkways|281100.0
236|AS|2606 Smith Overpass Apt. 675|268700.0
237|WD|3433 Mcdonald Mews|395200.0
238|AS|859 Angelica River|194500.0
239|DM|0423 Danielle Bridge|267200.0
240|PE|3307 Lowe Mountain|239900.0
241|DM|0352 Eric Place|358800.0
242|PE|650 Stephen Shoals|234900.0
243|WD|60140 Victor Plain Apt. 504|124200.0
244|WD|91161 Luis Corner Suite 450|138700.0
245|WD|3823 Pena Field Suite 880|200500.0
246|FL|91385 Waters Track|263700.0
247|AS|12794 Michelle Bridge Suite 220|249400.0
248|AS|68871 Ellen Islands Suite 876|139800.0
249|FL|3030 Fields Canyon|250300.0
250|AS|81893 Walker Cliffs Apt. 245|127600.0
251|PP|9405 Walker Ranch|165000.0
252|AS|20916 Braun Causeway|301000.0
253|PE|5528 Kevin Curve|142500.0
254|GE|3558 Crystal Circles|366900.0
255|GE|9984 Townsend Port Suite 113|253100.0
256|DM|44758 Henry Mountains|174500.0
257|AS|70920 Jose Road|113800.0
258|WD|5840 Brooke Haven Apt. 176|212700.0
259|WD|80533 Kevin Points Apt. 116|100000.0
260|PE|20355 Wall Ford|298000.0
261|DM|47086 Ross Groves|134700.0
262|GB|9397 Karen Island Suite 120|146000.0
263|GB|249 Brenda Stream Apt. 903|251600.0
264|WD|25048 Wright Crescent|128100.0
265|DM|61912 Krystal Cape|334300.0
266|GB|63200 House Parkway|359200.0
267|PP|938 Edward Lodge|305200.0
268|PE|2185 Terrell Plain|398100.0
269|AS|66666 Allen Fort Apt. 719|364600.0
270|GE|42654 Dana Place|315700.0
271|WD|11714 Moreno Burg|216100.0
272|FL|42011 Bryan Springs Suite 652|127900.0
273|GB|7404 Abigail Coves Apt. 939|273400.0
274|PE|486 Sheila Ramp Suite 452|396400.0
275|PE|545 Wilkins Radial Suite 450|192800.0
276|GB|332 Oneill Court|389300.0
277|AS|02661 Jasmine Route|271900.0
278|AS|4185 Whitney Skyway Apt. 833|268700.0
279|FL|78971 Roberts Land|334900.0
280|FL|895 Murphy Point|161900.0
281|GE|40033 Sandra Roads|316500.0
282|DM|12567 Matthew Manors Suite 816|156800.0
283|WD|41016 Miller Prairie|271600.0
284|PP|09685 Contreras Mews Apt. 799|321000.0
285|PP|82681 Jill Port Suite 274|330600.0
286|GB|41641 Jeffery Way Apt. 110|146200.0
287|GB|998 Sara Wells Apt. 655|195300.0
288|DM|5463 Amanda Park|272200.0
289|PE|70380 Andrea Squares Apt. 769|347300.0
290|DM|718 Ramirez Shoals|278700.0
291|GE|1413 Francis Row|211700.0
292|WD|97444 Max Via|394900.0
293|DM|41646 Allen Ports Apt. 868|245800.0
294|PE|908 Nicole Loop Suite 741|321700.0
295|GE|794 Catherine Views Apt. 578|205700.0
296|WD|3041 Carla Skyway|184000.0
297|GB|38596 Elizabeth Trace|303400.0
298|WD|99191 Joseph Radial Apt. 920|199700.0
299|GE|139 Jamie Viaduct|316100.0
300|FL|98400 Shannon Harbors Apt. 463|286300.0
301|PE|060 Hoffman Cape|243000.0
302|GE|46354 Laurie Road|345100.0
303|AS|029 Davis Passage|118200.0
304|DM|6223 Smith Lock Suite 778|135200.0
305|GB|5051 Mendoza Creek|282300.0
306|PE|78213 Wallace Pike Suite 570|130600.0
307|DM|43410 Greg Key Apt. 505|357600.0
308|PP|1375 Bailey Mission Apt. 100|232700.0
309|PP|87732 Brian Springs|229300.0
310|PP|341 John Place Apt. 265|286700.0
311|WD|880 Glass Point Suite 528|120900.0
312|DM|8455 Marvin Prairie Suite 809|245100.0
313|GE|570 Richardson Lodge Apt. 760|255200.0
314|PE|3536 Hill Mountain|100000.0
315|GE|0520 John Cliffs Apt. 067|108800.0
316|GE|04589 Gary Creek|350000.0
317|PP|40828 Daniels Islands Apt. 529|177600.0
318|AS|7882 Hernandez Crescent Apt. 720|253700.0
319|WD|64892 Tammie Rapids Suite 231|380600.0
320|PE|770 Andre Flats Apt. 511|354200.0
321|FL|68678 Gary Springs|120000.0
322|GB|08169 Kendra Camp Suite 815|351400.0
323|GB|090 Bianca Coves Apt. 800|174700.0
324|DM|559 Maldonado Roads Apt. 728|314600.0
325|AS|3570 Michael Road Apt. 994|298800.0
326|FL|6821 Raymond Ranch|205800.0
327|GE|8958 Larry Spur|137000.0
328|FL|1470 Holden Villages Apt. 786|394800.0
329|PE|2512 Guerrero Inlet Apt. 139|309900.0
330|FL|251 Reese Tunnel Suite 531|274400.0
331|AS|33168 Wesley Ramp Apt. 737|327000.0
332|AS|19117 Luis Wall Suite 033|312500.0
333|GE|614 Donna Manor Apt. 418|133800.0
334|FL|044 Harold Common|354200.0
335|GE|1859 Russell Estate|289700.0
336|PP|1094 Mckenzie Square|292400.0
337|FL|0249 Lisa Loaf Suite 935|276600.0
338|FL|7824 Carl Fort|243700.0
339|GB|3177 Bishop Court|368600.0
340|FL|120 Antonio Bypass Suite 733|372800.0
341|DM|6444 Stevens Square Apt. 774|334200.0
342|PP|7441 Miller Unions|237100.0
343|DM|417 Miguel Harbors Suite 278|384500.0
344|PE|65015 Michael Meadows Apt. 197|394600.0
345|GE|3397 Gonzales Brook Suite 045|239300.0
346|PP|4234 Daniel Key|147700.0
347|GE|9961 Timothy Stravenue|299600.0
348|PE|232 Courtney Circles|237200.0
349|AS|57045 Patricia Lane|294200.0
350|FL|8077 Williams Extension|342200.0
351|GE|532 Alvarado Landing|344000.0
352|AS|319 Wright Springs|218900.0
353|PP|2917 Klein Lodge|239600.0
354|FL|27314 Patricia Alley Suite 186|232300.0
355|PE|961 Gonzales Island Apt. 339|220600.0
356|PP|65808 Jason Tunnel|153900.0
357|PP|65898 Holly Orchard Apt. 310|212200.0
358|WD|77702 Lewis Shoal Apt. 857|341000.0
359|AS|13471 Emily Dam Suite 361|111100.0
360|GE|40128 Hansen Dam Apt. 047|363300.0
361|WD|24910 Christopher Valley Suite 347|247800.0
362|GB|08428 Amanda Roads|326700.0
363|PP|59497 Bryant Drive Apt. 045|123500.0
364|DM|87445 Kristy Parkways Suite 468|271200.0
365|WD|89038 Garcia Mountain|171400.0
366|DM|3367 Logan Trail|217300.0
367|FL|0224 April Street Suite 291|339000.0
368|AS|69948 Odom Crescent Suite 225|386400.0
369|FL|692 John Track Suite 948|393900.0
370|FL|385 Chelsea Unions Suite 541|277300.0
371|PP|68716 Nunez Corner|398800.0
372|PP|69455 Martinez Oval|146500.0
373|AS|271 Forbes Harbors Suite 205|234800.0
374|PE|86780 Mark Track|288500.0
375|GE|303 Amanda Ridges|368100.0
376|GB|414 Ramos Underpass Suite 274|239700.0
377|GB|498 Kerr Drive|104400.0
378|PP|029 Tammy Rue|386500.0
379|DM|127 Jason Flat Suite 415|101000.0
380|PP|805 Lawrence Mountain|192200.0
381|FL|553 Tanner Centers|288700.0
382|GB|3641 Kevin Road|159300.0
383|GE|516 Beasley Ports|231500.0
384|PP|338 Zachary Roads Apt. 716|292900.0
385|FL|837 Natasha Haven|343400.0
386|PP|8137 Villa Square Apt. 651|351000.0
387|WD|83262 Walls Rest Apt. 657|257000.0
388|WD|7289 Perry Tunnel Suite 795|112200.0
389|AS|30773 Phyllis Hills|186000.0
390|AS|51740 Kristen Ridge Suite 152|300600.0
391|AS|2818 Kelly Islands Apt. 695|132100.0
392|PE|16318 Dixon Plains Apt. 144|246700.0
393|GE|689 Arnold Isle|236500.0
394|PP|89105 April River|214800.0
395|PP|270 Hull Camp|374400.0
396|DM|266 Michael Skyway|127900.0
397|PP|634 Luna Parkways|386300.0
398|DM|2375 Melissa Inlet Suite 073|391500.0
399|PE|28625 Morrison Heights Suite 752|267700.0
400|GB|6682 Craig Isle|122800.0
401|WD|9373 Anna Harbor|286600.0
402|GE|79946 Williams Street|394900.0
403|GB|9462 Robert Court|101600.0
404|FL|8424 Smith Lodge|299500.0
405|GE|336 Theresa Square Apt. 152|263500.0
406|PP|3880 Bush Cliff Apt. 018|361700.0
407|PP|875 Rice Crossroad Apt. 887|397300.0
408|GE|8399 Nicole Fields|324700.0
409|GE|1598 Kevin Islands|140400.0
410|PP|6531 Joseph Locks|246400.0
411|PE|708 Jason Fork Suite 415|277700.0
412|GB|3300 Everett Plains|336200.0
413|FL|44364 Lopez Turnpike Apt. 600|391300.0
414|GE|07203 Baker Freeway Apt. 855|370000.0
415|DM|3185 Owens Falls|129500.0
416|GB|345 Chavez Knolls Suite 141|109400.0
417|WD|88236 Jill Springs|396900.0
418|GB|436 Patricia Pike|348700.0
419|WD|320 Hicks Curve|163600.0
420|PE|3537 Carroll Club Apt. 178|221000.0
421|PE|4086 Miller Green|366400.0
422|WD|83071 Roberts Trace|101100.0
423|DM|1109 Hammond Ramp Suite 581|142600.0
424|FL|88237 Carter Forge Suite 494|369400.0
425|GE|47769 Betty Junctions|243400.0
426|PP|935 Thompson Port|376800.0
427|FL|4457 Jennifer Mountains|125600.0
428|PE|51949 Amanda Village Apt. 522|385100.0
429|DM|205 Medina Place Apt. 644|343300.0
430|WD|80175 Martinez Ridge Suite 167|164600.0
431|GB|8311 Barbara Valley Suite 999|298500.0
432|PP|0692 Garcia Lock|259500.0
433|PP|0849 Troy Hollow Suite 735|377600.0
434|PE|4088 William Isle|225300.0
435|GB|751 Lawrence Freeway Suite 216|293700.0
436|GB|5143 Amanda Vista|362300.0
437|DM|6562 Elizabeth Motorway Apt. 002|392500.0
438|DM|70794 Fleming Garden|364400.0
439|PE|768 Tyrone Inlet|160100.0
440|GE|85202 Paula Rapids Apt. 328|185800.0
441|DM|79395 Timothy Glens|242700.0
442|WD|9739 Veronica Fords Apt. 920|210500.0
443|GB|80183 Melvin Viaduct Suite 893|203000.0
444|GE|615 David Skyway|228700.0
445|GE|21832 Javier Hills|228900.0
446|PP|198 Smith Trafficway|221400.0
447|GB|894 Hammond Coves Apt. 621|158500.0
448|AS|7855 Vickie Lakes Apt. 254|382000.0
449|GE|021 Becker Points|176600.0
450|WD|4590 Charles Lake Apt. 077|313300.0
451|PE|444 Gilmore Lane|275200.0
452|AS|1927 Sanchez Trail|209800.0
453|DM|03444 Chelsea Street Apt. 403|104000.0
454|PP|15472 Jensen Row|134800.0
455|PP|7434 Barbara Loaf Suite 091|187600.0
456|AS|206 Fisher Brooks|252400.0
457|PP|145 Hannah Rapid Suite 705|245100.0
458|DM|631 Walsh River Apt. 374|359200.0
459|PP|60773 Shawn Isle Apt. 894|166100.0
460|PE|456 Melissa Springs Apt. 348|272000.0
461|DM|401 Monica Manor Suite 183|240100.0
462|PE|50857 Johnston Terrace Suite 212|157600.0
463|DM|606 Lowe Brooks|105900.0
464|DM|69091 Mary Ports|336800.0
465|WD|74906 Lee Freeway Apt. 498|262100.0
466|PP|899 Robinson Courts|240700.0
467|PE|73618 Kennedy Courts Apt. 001|188500.0
468|GE|748 Vazquez Bridge Apt. 396|181000.0
469|PE|2278 Brown Turnpike|219600.0
470|PE|80433 Sean Radial Suite 223|231100.0
471|WD|9274 Angelica Squares Apt. 906|154000.0
472|AS|005 Daniel Wall|121800.0
473|PP|685 Ronald Rue|267300.0
474|GB|631 Alvarez Park|237000.0
475|PP|876 Fitzpatrick Islands|399500.0
476|GE|32785 Byrd Prairie Suite 035|249600.0
477|DM|39651 Greer Plains Apt. 492|169100.0
478|DM|946 Smith Oval|236200.0
479|AS|48431 Jordan Dam Suite 023|227700.0
480|DM|7003 David Tunnel|317100.0
481|WD|65809 Patterson Forks|291600.0
482|FL|4334 Randy Court|142600.0
483|GB|85385 Woods Pines|330300.0
484|PP|38816 Taylor Courts Suite 872|274100.0
485|GB|7295 Reid Wells|119500.0
486|PP|4929 Michael Grove Apt. 318|352200.0
487|DM|33132 Holland Fort|119800.0
488|DM|793 Laura Plains|315300.0
489|GE|469 Weaver Forge Apt. 671|105200.0
490|FL|9707 Julia View|129400.0
491|WD|8722 Andrew Square Apt. 609|203900.0
492|GE|82796 Jason Tunnel Suite 120|140400.0
493|GB|43518 Lawrence Parkway Apt. 632|127300.0
494|FL|12337 Aaron Path|158700.0
495|GB|998 Leslie Hill|206500.0
496|WD|941 Tiffany Roads Apt. 190|137300.0
497|AS|32021 Peter Squares|181400.0
498|AS|6285 Mitchell Mews|263900.0
499|PE|29969 Galloway Groves Suite 814|375800.0
500|AS|179 Jennifer Mountains|196000.0
501|WD|160 Nicholas Junctions|373300.0
502|WD|3801 Gutierrez View Apt. 505|239500.0
503|FL|929 Allen Fork|122600.0
504|GE|28947 May Road Apt. 589|319600.0
505|GB|739 Valentine Passage Suite 851|254200.0
506|PP|95112 Dustin Knoll|317500.0
507|GB|01132 Reyes Mountains|268900.0
508|PP|8351 Donna Walk Apt. 662|257500.0
509|WD|16121 Brandi Row|288500.0
510|GE|13941 Chris Shoal Suite 215|307000.0
511|WD|398 Tami Throughway Apt. 562|346400.0
512|PE|9746 Stein Hill Apt. 261|217200.0
513|GE|1056 Hawkins Plains|216100.0
514|WD|98785 Crystal Villages Suite 827|236600.0
515|DM|6634 Charles Lodge Suite 507|333400.0
516|PE|4259 Palmer Run|103000.0
517|GE|69918 Arroyo Garden Apt. 741|338000.0
518|DM|03221 Anne Bypass Suite 872|239300.0
519|WD|44746 Vicki Turnpike Apt. 406|247500.0
520|GE|391 White Union Apt. 003|360100.0
521|AS|092 Carr Court|357600.0
522|DM|6414 Whitaker Crest Apt. 270|346500.0
523|GB|0782 Keith Via|274500.0
524|PE|810 Garrett Neck Apt. 057|118800.0
525|WD|713 Keith Knolls Suite 943|153700.0
526|AS|16648 Regina Shore Apt. 461|265100.0
527|AS|291 Jeremy Trace|259600.0
528|AS|964 Bowers Flat|388200.0
529|GE|0556 Bauer Groves|111000.0
530|GE|869 Harvey Valleys Suite 189|181900.0
531|PE|700 Werner Track Apt. 648|132300.0
532|GE|7061 Caroline Roads Suite 751|184700.0
533|FL|949 Ortiz Way Suite 146|301900.0
534|PE|86373 Castro Points Suite 571|382100.0
535|AS|474 Wood Forges Apt. 150|388200.0
536|GB|17109 Cowan Vista Apt. 855|207800.0
537|FL|198 Yu Fall|115900.0
538|GB|007 Brown Mews Apt. 574|297900.0
539|GB|12510 Poole Branch Suite 993|199900.0
540|DM|61900 Manning Ranch|200700.0
541|FL|4669 Monique Courts Suite 495|381600.0
542|PE|08103 Benjamin Inlet Suite 368|351700.0
543|PP|63793 Bailey Street Suite 869|343500.0
544|AS|079 Kevin Row Suite 678|188400.0
545|PE|276 William Gardens Suite 408|180300.0
546|AS|12998 Wright Plains|166700.0
547|GB|837 Carter Isle Apt. 846|122000.0
548|GB|288 Ashley Roads|241500.0
549|FL|016 Wagner Village|355300.0
550|AS|13452 Smith Plaza Suite 950|116300.0
551|DM|425 Herring Crossroad|221600.0
552|AS|082 Torres Meadow Suite 839|304900.0
553|GE|651 Marie Rapid|340300.0
554|AS|5221 Molina Terrace Suite 885|258400.0
555|GE|3728 Ortiz Plains|324900.0
556|FL|2197 Blackwell Via Suite 330|252200.0
557|FL|151 Angela Walks Suite 295|330300.0
558|GE|699 Darlene Drives Apt. 706|389700.0
559|AS|71454 Karina Track|352200.0
560|GB|049 Bailey Valleys|389900.0
561|DM|672 Harvey Mall Apt. 107|346900.0
562|GE|9162 Deanna Spur|290400.0
563|GB|40733 Anderson Green|350500.0
564|PP|01115 Susan Vista Apt. 035|228400.0
565|AS|23399 Lisa Meadow|333500.0
566|DM|05306 Watson Cliff Suite 050|128900.0
567|PP|444 Andrews Parkways|302900.0
568|DM|4795 Michael Spring Apt. 202|366300.0
569|WD|017 Gonzalez Highway|220600.0
570|GE|4574 Deborah Creek Suite 343|262500.0
571|DM|3035 Lambert Land|196800.0
572|PE|01652 Wilson Bridge Suite 641|366300.0
573|PE|806 Jones Lane|254800.0
574|AS|69512 Schmitt Street|215400.0
575|FL|2176 Miller Bypass Apt. 244|231100.0
576|GB|929 Steven Place Suite 313|324400.0
577|WD|077 Burton Dale|176700.0
578|PP|2677 Robinson Place Apt. 071|347400.0
579|PP|005 Larsen Junction|164300.0
580|WD|359 Richard Wells|254400.0
581|GE|02952 Perez Valley|387800.0
582|PP|92995 Cunningham Cliff|186000.0
583|AS|41346 Smith Divide|199200.0
584|PE|392 Johnson Trail Apt. 124|325200.0
585|PE|36424 Whitney Oval|221600.0
586|PE|05343 Daniel Lock|303300.0
587|GB|396 Jennifer Well Apt. 491|148800.0
588|WD|6565 Morrison Knoll Apt. 102|127400.0
589|GB|812 Jacqueline Stravenue|372200.0
590|WD|590 Jason Oval Suite 007|137100.0
591|GE|62584 Michael Estates|213300.0
592|PP|7236 Hannah Divide Apt. 058|176900.0
593|DM|1296 Christine Crest Suite 435|178200.0
594|AS|818 Emily Canyon Suite 631|252400.0
595|AS|7463 Johnston Mill Apt. 894|294300.0
596|AS|5339 Spencer Ranch Apt. 010|364900.0
597|GE|65552 Williams Views Suite 884|121900.0
